field,not_in_hs82,ObsID
AKARI-NEP,0,1342180954
AKARI-NEP,0,1342180957
AKARI-NEP,0,1342188590
AKARI-NEP,0,1342239959
AKARI-SEP,0,1342188096
AKARI-SEP,0,1342188097
Bootes,0,1342187711
Bootes,0,1342187712
Bootes,0,1342187713
Bootes,0,1342188090
Bootes,0,1342188650
Bootes,0,1342188651
Bootes,0,1342188681
Bootes,0,1342188682
Bootes,0,1342189108
CDFS-SWIRE,0,1342191158
CDFS-SWIRE,0,1342191159
CDFS-SWIRE,0,1342191160
CDFS-SWIRE,0,1342191161
CDFS-SWIRE,0,1342191162
CDFS-SWIRE,0,1342191163
CDFS-SWIRE,0,1342191164
CDFS-SWIRE,0,1342191165
CDFS-SWIRE,0,1342191166
CDFS-SWIRE,0,1342191167
CDFS-SWIRE,0,1342191168
CDFS-SWIRE,0,1342191169
CDFS-SWIRE,0,1342191170
CDFS-SWIRE,0,1342191171
CDFS-SWIRE,0,1342191172
CDFS-SWIRE,0,1342191173
CDFS-SWIRE,0,1342191174
CDFS-SWIRE,0,1342191175
CDFS-SWIRE,0,1342191176
CDFS-SWIRE,0,1342201265
CDFS-SWIRE,0,1342201266
CDFS-SWIRE,0,1342201267
CDFS-SWIRE,0,1342201268
CDFS-SWIRE,0,1342201269
CDFS-SWIRE,0,1342201270
CDFS-SWIRE,0,1342201271
CDFS-SWIRE,0,1342201272
CDFS-SWIRE,0,1342201273
CDFS-SWIRE,0,1342201274
CDFS-SWIRE,0,1342201275
CDFS-SWIRE,0,1342201276
CDFS-SWIRE,0,1342201277
CDFS-SWIRE,0,1342201278
CDFS-SWIRE,0,1342201279
CDFS-SWIRE,0,1342201280
CDFS-SWIRE,0,1342201281
CDFS-SWIRE,0,1342201282
CDFS-SWIRE,0,1342201283
CDFS-SWIRE,0,1342201284
CDFS-SWIRE,0,1342201285
CDFS-SWIRE,0,1342201286
CDFS-SWIRE,0,1342201287
CDFS-SWIRE,0,1342201288
CDFS-SWIRE,0,1342201289
CDFS-SWIRE,0,1342201290
CDFS-SWIRE,0,1342201291
CDFS-SWIRE,0,1342201292
CDFS-SWIRE,0,1342201293
CDFS-SWIRE,0,1342201294
CDFS-SWIRE,0,1342201295
CDFS-SWIRE,0,1342201296
CDFS-SWIRE,0,1342201297
CDFS-SWIRE,0,1342201298
CDFS-SWIRE,0,1342201299
CDFS-SWIRE,0,1342201300
CDFS-SWIRE,0,1342201301
CDFS-SWIRE,0,1342201302
CDFS-SWIRE,0,1342201366
CDFS-SWIRE,0,1342201367
CDFS-SWIRE,0,1342201368
CDFS-SWIRE,0,1342201369
CDFS-SWIRE,0,1342201370
CDFS-SWIRE,0,1342201371
CDFS-SWIRE,0,1342201372
CDFS-SWIRE,0,1342201373
CDFS-SWIRE,0,1342201391
CDFS-SWIRE,0,1342201392
CDFS-SWIRE,0,1342201393
CDFS-SWIRE,0,1342201394
CDFS-SWIRE,0,1342201395
CDFS-SWIRE,0,1342201396
CDFS-SWIRE,0,1342201397
CDFS-SWIRE,0,1342201398
CDFS-SWIRE,0,1342201399
CDFS-SWIRE,0,1342201400
CDFS-SWIRE,0,1342201401
CDFS-SWIRE,0,1342201402
CDFS-SWIRE,0,1342201403
CDFS-SWIRE,0,1342201404
CDFS-SWIRE,0,1342201405
CDFS-SWIRE,0,1342201406
CDFS-SWIRE,0,1342201407
CDFS-SWIRE,0,1342201408
CDFS-SWIRE,0,1342201409
CDFS-SWIRE,0,1342201410
CDFS-SWIRE,0,1342201411
CDFS-SWIRE,0,1342201412
CDFS-SWIRE,0,1342201413
CDFS-SWIRE,0,1342201414
CDFS-SWIRE,0,1342201416
CDFS-SWIRE,0,1342201417
CDFS-SWIRE,0,1342201418
CDFS-SWIRE,0,1342201419
CDFS-SWIRE,0,1342201420
CDFS-SWIRE,0,1342201421
CDFS-SWIRE,0,1342201422
CDFS-SWIRE,0,1342201423
CDFS-SWIRE,0,1342201424
CDFS-SWIRE,0,1342201425
CDFS-SWIRE,0,1342201426
CDFS-SWIRE,0,1342201427
CDFS-SWIRE,0,1342201428
CDFS-SWIRE,0,1342201429
CDFS-SWIRE,0,1342201430
CDFS-SWIRE,0,1342201431
CDFS-SWIRE,0,1342224029
CDFS-SWIRE,0,1342224033
CDFS-SWIRE,0,1342224139
CDFS-SWIRE,0,1342224142
COSMOS,0,1342195856
COSMOS,0,1342195857
COSMOS,0,1342195858
COSMOS,0,1342195859
COSMOS,0,1342195860
COSMOS,0,1342195861
COSMOS,0,1342195862
COSMOS,0,1342195863
COSMOS,0,1342222819
COSMOS,0,1342222820
COSMOS,0,1342222821
COSMOS,0,1342222822
COSMOS,0,1342222823
COSMOS,0,1342222824
COSMOS,0,1342222825
COSMOS,0,1342222826
COSMOS,0,1342222846
COSMOS,0,1342222847
COSMOS,0,1342222848
COSMOS,0,1342222849
COSMOS,0,1342222850
COSMOS,0,1342222851
COSMOS,0,1342222852
COSMOS,0,1342222853
COSMOS,0,1342222854
COSMOS,0,1342222879
COSMOS,0,1342222880
COSMOS,0,1342222897
COSMOS,0,1342222898
COSMOS,0,1342222899
COSMOS,0,1342222900
COSMOS,0,1342222901
EGS,0,1342190294
EGS,0,1342190295
EGS,0,1342190296
EGS,0,1342190297
EGS,0,1342190298
EGS,0,1342190299
EGS,0,1342190300
EGS,0,1342190310
EGS,0,1342190311
EGS,0,1342190312
EGS,0,1342231854
EGS,0,1342231855
EGS,0,1342231856
EGS,0,1342231857
ELAIS-N1,0,1342187646
ELAIS-N1,0,1342187647
ELAIS-N1,0,1342187648
ELAIS-N1,0,1342187649
ELAIS-N1,0,1342187650
ELAIS-N1,0,1342228354
ELAIS-N1,0,1342228450
ELAIS-N2,0,1342214712
ELAIS-N2,0,1342226997
ELAIS-S1,0,1342195729
ELAIS-S1,0,1342195743
ELAIS-S1,0,1342196656
ELAIS-S1,0,1342220649
ELAIS-S1,0,1342220833
ELAIS-S1,0,1342220880
GAMA-09,0,1342187170
GAMA-09,0,1342187171
GAMA-09,0,1342196885
GAMA-09,0,1342196886
GAMA-09,0,1342197282
GAMA-09,0,1342197283
GAMA-09,0,1342197307
GAMA-09,0,1342197308
GAMA-12,0,1342200112
GAMA-12,0,1342200113
GAMA-12,0,1342200121
GAMA-12,0,1342200122
GAMA-12,0,1342211317
GAMA-12,0,1342211318
GAMA-12,0,1342222625
GAMA-12,0,1342224030
GAMA-12,0,1342224138
GAMA-15,0,1342189661
GAMA-15,0,1342189662
GAMA-15,0,1342189691
GAMA-15,0,1342189692
GAMA-15,0,1342189845
GAMA-15,0,1342189846
GAMA-15,0,1342190254
GAMA-15,0,1342190255
HATLAS-NGP,0,1342210558
HATLAS-NGP,0,1342210559
HATLAS-NGP,0,1342210567
HATLAS-NGP,0,1342210568
HATLAS-NGP,0,1342210902
HATLAS-NGP,0,1342210903
HATLAS-NGP,0,1342210917
HATLAS-NGP,0,1342210918
HATLAS-NGP,0,1342210931
HATLAS-NGP,0,1342210932
HATLAS-NGP,0,1342210946
HATLAS-NGP,0,1342210947
HATLAS-NGP,0,1342211292
HATLAS-NGP,0,1342222626
HATLAS-NGP,0,1342222676
HATLAS-NGP,0,1342222677
HATLAS-SGP,0,1342196626
HATLAS-SGP,0,1342219629
HATLAS-SGP,0,1342196626
