Column,Unit,Description
field,,Name of the field in HELP survey
help_id,,"HELP identifier, based on J2000 position"
ra,deg,Right Ascension (J2000)
dec,deg,Declination (J2000)
hp_idx,,HEALPix index of the source position at order 13 using the nested scheme.
ebv,,Galactic extinction (Schlegel et al. 1998) at the object position
redshift,,Photometric redshift obtained with EAZY.
zspec,,Spectroscopic redshift collated from the literature.
zspec_qual,,Spectroscopic redshift quality flag. FIXME code meaning.
zspec_association_flag,,Boolean flag set to true when the association of a source to it's redshift may be problematic (possible mis-cross-association).
pointsourceness,,Index evaluation is the source is point-source: for 0 (not point source) to 1 (point source). Generally name stellarity index.
f_90prime_g,uJy,Total flux density in the B band of The 90-inch prime focus camera (90prime) on The Bok Telescope.
ferr_90prime_g,uJy,Uncertainty on f_90prime_g.
f_ap_90prime_g,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of The 90-inch prime focus camera (90prime) on The Bok Telescope."
ferr_ap_90prime_g,uJy,Uncertainty on f_ap_90prime_g.
m_90prime_g,mag,Total AB magnitude in the B band of The 90-inch prime focus camera (90prime) on The Bok Telescope.
merr_90prime_g,mag,Mean error on m_90prime_g.
m_ap_90prime_g,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of The 90-inch prime focus camera (90prime) on The Bok Telescope."
merr_ap_90prime_g,mag,Mean error on m_ap_90prime_g
flag_90prime_g,mag,Flag set to true for sources for which niether the 90prime_g aperture nor total flux should not be used for SED fitting (see documentation).
f_90prime_r,uJy,Total flux density in the R band of The 90-inch prime focus camera (90prime) on The Bok Telescope.
ferr_90prime_r,uJy,Uncertainty on f_90prime_r.
f_ap_90prime_r,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of The 90-inch prime focus camera (90prime) on The Bok Telescope."
ferr_ap_90prime_r,uJy,Uncertainty on f_ap_90prime_r.
m_90prime_r,mag,Total AB magnitude in the R band of The 90-inch prime focus camera (90prime) on The Bok Telescope.
merr_90prime_r,mag,Mean error on m_90prime_r.
m_ap_90prime_r,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of The 90-inch prime focus camera (90prime) on The Bok Telescope."
merr_ap_90prime_r,mag,Mean error on m_ap_90prime_r
flag_90prime_r,mag,Flag set to true for sources for which niether the 90prime_r aperture nor total flux should not be used for SED fitting (see documentation).
f_90prime_z,uJy,Total flux density in the I band of The 90-inch prime focus camera (90prime) on The Bok Telescope.
ferr_90prime_z,uJy,Uncertainty on f_90prime_z.
f_ap_90prime_z,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of The 90-inch prime focus camera (90prime) on The Bok Telescope."
ferr_ap_90prime_z,uJy,Uncertainty on f_ap_90prime_z.
m_90prime_z,mag,Total AB magnitude in the I band of The 90-inch prime focus camera (90prime) on The Bok Telescope.
merr_90prime_z,mag,Mean error on m_90prime_z.
m_ap_90prime_z,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of The 90-inch prime focus camera (90prime) on The Bok Telescope."
merr_ap_90prime_z,mag,Mean error on m_ap_90prime_z
flag_90prime_z,mag,Flag set to true for sources for which niether the 90prime_z aperture nor total flux should not be used for SED fitting (see documentation).
f_acs_f435w,uJy,Total flux density in the B band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST).
ferr_acs_f435w,uJy,Uncertainty on f_acs_f435w.
f_ap_acs_f435w,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST)."
ferr_ap_acs_f435w,uJy,Uncertainty on f_ap_acs_f435w.
m_acs_f435w,mag,Total AB magnitude in the B band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST).
merr_acs_f435w,mag,Mean error on m_acs_f435w.
m_ap_acs_f435w,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST)."
merr_ap_acs_f435w,mag,Mean error on m_ap_acs_f435w
flag_acs_f435w,mag,Flag set to true for sources for which niether the acs_f435w aperture nor total flux should not be used for SED fitting (see documentation).
f_acs_f606w,uJy,Total flux density in the R band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST).
ferr_acs_f606w,uJy,Uncertainty on f_acs_f606w.
f_ap_acs_f606w,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST)."
ferr_ap_acs_f606w,uJy,Uncertainty on f_ap_acs_f606w.
m_acs_f606w,mag,Total AB magnitude in the R band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST).
merr_acs_f606w,mag,Mean error on m_acs_f606w.
m_ap_acs_f606w,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST)."
merr_ap_acs_f606w,mag,Mean error on m_ap_acs_f606w
flag_acs_f606w,mag,Flag set to true for sources for which niether the acs_f606w aperture nor total flux should not be used for SED fitting (see documentation).
f_acs_f775w,uJy,Total flux density in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST).
ferr_acs_f775w,uJy,Uncertainty on f_acs_f775w.
f_ap_acs_f775w,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST)."
ferr_ap_acs_f775w,uJy,Uncertainty on f_ap_acs_f775w.
m_acs_f775w,mag,Total AB magnitude in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST).
merr_acs_f775w,mag,Mean error on m_acs_f775w.
m_ap_acs_f775w,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST)."
merr_ap_acs_f775w,mag,Mean error on m_ap_acs_f775w
flag_acs_f775w,mag,Flag set to true for sources for which niether the acs_f775w aperture nor total flux should not be used for SED fitting (see documentation).
f_acs_f814w,uJy,Total flux density in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST).
ferr_acs_f814w,uJy,Uncertainty on f_acs_f814w.
f_ap_acs_f814w,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST)."
ferr_ap_acs_f814w,uJy,Uncertainty on f_ap_acs_f814w.
m_acs_f814w,mag,Total AB magnitude in the I band of Advanced Camera for Surveys (ACS) on Hubble Space Telescope (HST).
merr_acs_f814w,mag,Mean error on m_acs_f814w.
