field,objects,dr1_file,dr1_file_hash,area_sq_degrees,file_size_bytes,file_size_readable,xid_objects,photoz_objects,cigale_objects
AKARI-NEP,531747,dmu_products/dmu32/dmu32_AKARI-NEP/data/AKARI-NEP_20180215.fits,0d7b7566184870ee33c86c793d4788ba,9.194732358779467,433442880,433.44 MB,31442,107229,1240
AKARI-SEP,844172,dmu_products/dmu32/dmu32_AKARI-SEP/data/AKARI-SEP_20180221.fits,56889960f654742f80329e8ebb0053d5,8.713306475131118,668652480,668.65 MB,108119,139059,566
Bootes,3398098,dmu_products/dmu32/dmu32_Bootes/data/Bootes_20190701.fits,70f12e14edd84aa1fe3c41816ad29041,11.42815299095486,5556003840,5.56 GB,495159,1570512,38980
CDFS-SWIRE,2171051,dmu_products/dmu32/dmu32_CDFS-SWIRE/data/CDFS-SWIRE_20180613.fits,7bb01da6145d35ffa157b7c3ee0209ce,12.971246403717068,6059603520,6.06 GB,73511,136944,9308
COSMOS,2599374,dmu_products/dmu32/dmu32_COSMOS/data/COSMOS_20190402_cigale.fits,52da3e4b5f8d1ba7bd6ea96e042f78c7,5.083863478496816,10704487680,10.7 GB,25898,691502,0
EGS,1412613,dmu_products/dmu32/dmu32_EGS/data/EGS_20180501.fits,74ce7e6bd7a982141d7558fad62b38df,3.566383275122158,4018965120,4.02 GB,223598,1182503,4159
ELAIS-N1,4026292,dmu_products/dmu32/dmu32_ELAIS-N1/data/ELAIS-N1_20171016.fits,97ccb7d86c92aa9e9ba0657c9e737276,13.507484555454763,6007360320,6.01 GB,269611,2714686,49985
ELAIS-N2,1783240,dmu_products/dmu32/dmu32_ELAIS-N2/data/ELAIS-N2_20180218.fits,09628a8b89fd5eeea27d6059988eb900,9.167479903991113,2321884800,2.32 GB,86591,120723,6798
ELAIS-S1,1655564,dmu_products/dmu32/dmu32_ELAIS-S1/data/ELAIS-S1_20180416.fits,e1e31bd8ae8b7646c47aaec6a40e2cf4,9.002940646885508,2231798400,2.23 GB,194276,1013582,25393
GAMA-09,12937982,dmu_products/dmu32/dmu32_GAMA-09/data/GAMA-09_20180601.fits,6712784e0dd54abaca5dc46b82a2c7a5,62.01393417284915,21839469120,21.84 GB,1386659,8833874,130293
GAMA-12,12369415,dmu_products/dmu32/dmu32_GAMA-12/data/GAMA-12_20180218.fits,ba0974bee7ab13a2468e235fb3426928,62.70933280772107,16476194880,16.48 GB,1099477,8569951,108139
GAMA-15,14232880,dmu_products/dmu32/dmu32_GAMA-15/data/GAMA-15_20180213.fits,832509b2d9b09a9848dfe40695d298cb,61.70114565980842,18716371200,18.72 GB,1236395,10083210,117234
HATLAS-NGP,6761879,dmu_products/dmu32/dmu32_NGP/data/NGP_20180219.fits,da59170abf6be69159a771c65100d40d,177.6981971077162,5964091200,5.96 GB,1235835,3169240,185668
HATLAS-SGP,29790690,dmu_products/dmu32/dmu32_SGP/data/SGP_20180221.fits,44c68e32576da4e67df4e5947b43b3a4,294.5684540900642,47039604480,47.04 GB,3511594,17054138,352804
HDF-N,130679,dmu_products/dmu32/dmu32_HDF-N/data/HDF-N_20180427.fits,eda45995ea7811f618393675056ff003,0.6717832558166041,190630080,190.63 MB,834,7435,0
Herschel-Stripe-82,50231153,dmu_products/dmu32/dmu32_Herschel-Stripe-82/data/Herschel-Stripe-82_20180307.fits,d7226df541b0204d7b8b1198080ff868,363.22747930641884,133765735680,133.77 GB,3011145,21544146,285342
Lockman-SWIRE,4366298,dmu_products/dmu32/dmu32_Lockman-SWIRE/data/Lockman-SWIRE_20180219.fits,72c4ab422be2081358fb50ba3cb9a867,22.413863402949218,5990670720,5.99 GB,242065,1377139,46719
SA13,9799,dmu_products/dmu32/dmu32_SA13/data/SA13_20180501.fits,c2e822dab8edfcf4b178e31c245b1f77,0.27416379328431184,4011840,4.01 MB,812,2884,70
SPIRE-NEP,2674,dmu_products/dmu32/dmu32_SPIRE-NEP/data/SPIRE-NEP_20180220.fits,3bcd023738650ef1ae6035363fe2e120,0.1280660469377391,1592640,1.59 MB,562,935,71
SSDF,12967479,dmu_products/dmu32/dmu32_SSDF/data/SSDF_20180221.fits,1db2c5ec62ab18687892ccd4571c758f,111.11624949343539,9972051840,9.97 GB,4700829,9556303,611152
XMM-13hr,38629,dmu_products/dmu32/dmu32_XMM-13hr/data/XMM-13hr_20180501.fits,da7c644f7aeee09034af7040439b32e0,0.7570240166583633,15747840,15.75 MB,3563,10773,670
XMM-LSS,8705837,dmu_products/dmu32/dmu32_XMM-LSS/data/XMM-LSS_20190328.fits,bd34fc932122d8fe035b5a3bef7956c0,21.75457939331374,29547829440,29.55 GB,360500,6124027,61888
xFLS,977148,dmu_products/dmu32/dmu32_xFLS/data/xFLS_20180501.fits,983336d6ca349d809ea831cba71a9b1b,7.44043242140754,1187294400,1.19 GB,52187,100993,5944
